RODADA;Home;Away;HG;AG;Res
1;Cruzeiro;Mirassol;2;1;H
1;Fortaleza;Fluminense;2;0;H
1;Gremio;Atletico-MG;2;1;H
1;Juventude;Vitoria;2;0;H
1;Sao Paulo;Sport Recife;0;0;D
1;Flamengo RJ;Internacional;1;1;D
1;Palmeiras;Botafogo RJ;0;0;D
1;Vasco;Santos;2;1;H
1;Bahia;Corinthians;1;1;D
1;Bragantino;Ceara;2;2;D
2;Ceara;Gremio;2;0;H
2;Corinthians;Vasco;3;0;H
2;Botafogo RJ;Juventude;2;0;H
2;Atletico-MG;Sao Paulo;0;0;D
2;Fluminense;Bragantino;2;1;H
2;Internacional;Cruzeiro;3;0;H
2;Mirassol;Fortaleza;1;1;D
2;Sport Recife;Palmeiras;1;2;A
2;Vitoria;Flamengo RJ;1;2;A
2;Santos;Bahia;2;2;D
3;Bragantino;Botafogo RJ;1;0;H
3;Juventude;Ceara;2;1;H
3;Palmeiras;Corinthians;2;0;H
3;Vasco;Sport Recife;3;1;H
3;Bahia;Mirassol;1;1;D
3;Gremio;Flamengo RJ;0;2;A
3;Sao Paulo;Cruzeiro;1;1;D
3;Fluminense;Santos;1;0;H
3;Fortaleza;Internacional;0;0;D
3;Atletico-MG;Vitoria;2;2;D
4;Ceara;Vasco;2;1;H
4;Botafogo RJ;Sao Paulo;2;2;D
4;Mirassol;Gremio;4;1;H
4;Sport Recife;Bragantino;0;1;A
4;Corinthians;Fluminense;0;2;A
4;Internacional;Palmeiras;0;1;A
4;Flamengo RJ;Juventude;6;0;H
4;Santos;Atletico-MG;2;0;H
4;Vitoria;Fortaleza;2;1;H
4;Cruzeiro;Bahia;3;0;H
5;Corinthians;Sport Recife;2;1;H
5;Vasco;Flamengo RJ;0;0;D
5;Gremio;Internacional;1;1;D
5;Juventude;Mirassol;2;2;D
5;Atletico-MG;Botafogo RJ;1;0;H
5;Sao Paulo;Santos;2;1;H
5;Fluminense;Vitoria;1;1;D
5;Fortaleza;Palmeiras;1;2;A
5;Bragantino;Cruzeiro;1;0;H
5;Bahia;Ceara;1;0;H
6;Internacional;Juventude;3;1;H
6;Ceara;Sao Paulo;1;1;D
6;Mirassol;Atletico-MG;2;2;D
6;Sport Recife;Fortaleza;0;0;D
6;Botafogo RJ;Fluminense;2;0;H
6;Flamengo RJ;Corinthians;4;0;H
6;Cruzeiro;Vasco;1;0;H
6;Palmeiras;Bahia;0;1;A
6;Vitoria;Gremio;1;1;D
6;Santos;Bragantino;1;2;A
7;Sao Paulo;Fortaleza;0;0;D
7;Ceara;Vitoria;1;0;H
7;Corinthians;Internacional;4;2;H
7;Fluminense;Sport Recife;2;1;H
7;Bahia;Botafogo RJ;1;0;H
7;Gremio;Santos;1;0;H
7;Vasco;Palmeiras;0;1;A
7;Cruzeiro;Flamengo RJ;2;1;H
7;Bragantino;Mirassol;1;0;H
7;Juventude;Atletico-MG;0;1;A
8;Fortaleza;Juventude;5;0;H
8;Gremio;Bragantino;1;1;D
8;Mirassol;Corinthians;2;1;H
8;Vitoria;Vasco;2;1;H
8;Flamengo RJ;Bahia;1;0;H
8;Sport Recife;Cruzeiro;0;4;A
8;Atletico-MG;Fluminense;3;2;H
8;Palmeiras;Sao Paulo;1;0;H
8;Botafogo RJ;Internacional;4;0;H
8;Santos;Ceara;0;0;D
9;Ceara;Sport Recife;2;0;H
9;Vasco;Fortaleza;3;0;H
9;Sao Paulo;Gremio;2;1;H
9;Bahia;Vitoria;2;1;H
9;Corinthians;Santos;1;0;H
9;Juventude;Fluminense;1;1;D
9;Bragantino;Palmeiras;1;2;A
9;Flamengo RJ;Botafogo RJ;0;0;D
9;Cruzeiro;Atletico-MG;0;0;D
9;Internacional;Mirassol;1;1;D
10;Fluminense;Vasco;2;1;H
10;Sao Paulo;Mirassol;0;2;A
10;Atletico-MG;Corinthians;0;0;D
10;Gremio;Bahia;1;0;H
10;Palmeiras;Flamengo RJ;0;2;A
10;Sport Recife;Internacional;1;1;D
10;Vitoria;Santos;0;1;A
10;Fortaleza;Cruzeiro;0;2;A
10;Bragantino;Juventude;1;0;H
10;Botafogo RJ;Ceara;3;2;H
11;Bahia;Sao Paulo;2;1;H
11;Vasco;Bragantino;0;2;A
11;Mirassol;Sport Recife;1;0;H
11;Juventude;Gremio;0;2;A
11;Santos;Botafogo RJ;0;1;A
11;Ceara;Atletico-MG;0;1;A
11;Corinthians;Vitoria;0;0;D
11;Flamengo RJ;Fortaleza;5;0;H
11;Cruzeiro;Palmeiras;2;1;H
11;Internacional;Fluminense;0;2;A
12;Bragantino;Bahia;0;3;A
12;Vitoria;Cruzeiro;0;0;D
12;Fortaleza;Santos;2;3;A
12;Gremio;Corinthians;1;1;D
12;Atletico-MG;Internacional;2;0;H
12;Sao Paulo;Vasco;1;3;A
12;Botafogo RJ;Mirassol;3;3;D
12;Palmeiras;Juventude;0;0;D
12;Fluminense;Ceara;0;0;D
