RODADA;Home;Away;HG;AG;Res
28;Sport Recife;Ceara;;;
28;Fortaleza;Vasco;;;
28;Gremio;Sao Paulo;;;
28;Vitoria;Bahia;;;
28;Santos;Corinthians;;;
28;Fluminense;Juventude;;;
28;Palmeiras;Bragantino;;;
28;Botafogo RJ;Flamengo RJ;;;
28;Atletico-MG;Cruzeiro;;;
28;Mirassol;Internacional;;;
29;Vasco;Fluminense;;;
29;Mirassol;Sao Paulo;;;
29;Corinthians;Atletico-MG;;;
29;Bahia;Gremio;;;
29;Flamengo RJ;Palmeiras;;;
29;Internacional;Sport Recife;;;
29;Santos;Vitoria;;;
29;Cruzeiro;Fortaleza;;;
29;Juventude;Bragantino;;;
29;Ceara;Botafogo RJ;;;
30;Sao Paulo;Bahia;;;
30;Bragantino;Vasco;;;
30;Sport Recife;Mirassol;;;
30;Gremio;Juventude;;;
30;Botafogo RJ;Santos;;;
30;Atletico-MG;Ceara;;;
30;Vitoria;Corinthians;;;
30;Fortaleza;Flamengo RJ;;;
30;Palmeiras;Cruzeiro;;;
30;Fluminense;Internacional;;;
31;Bahia;Bragantino;;;
31;Cruzeiro;Vitoria;;;
31;Santos;Fortaleza;;;
31;Corinthians;Gremio;;;
31;Internacional;Atletico-MG;;;
31;Vasco;Sao Paulo;;;
31;Mirassol;Botafogo RJ;;;
31;Juventude;Palmeiras;;;
31;Ceara;Fluminense;;;
31;Flamengo RJ;Sport Recife;;;
32;Sao Paulo;Flamengo RJ;;;
32;Vitoria;Internacional;;;
32;Botafogo RJ;Vasco;;;
32;Atletico-MG;Bahia;;;
32;Bragantino;Corinthians;;;
32;Gremio;Cruzeiro;;;
32;Ceara;Fortaleza;;;
32;Sport Recife;Juventude;;;
32;Palmeiras;Santos;;;
32;Fluminense;Mirassol;;;
33;Mirassol;Palmeiras;;;
33;Corinthians;Ceara;;;
33;Flamengo RJ;Santos;;;
33;Vitoria;Botafogo RJ;;;
33;Sao Paulo;Bragantino;;;
33;Cruzeiro;Fluminense;;;
33;Fortaleza;Gremio;;;
33;Vasco;Juventude;;;
33;Sport Recife;Atletico-MG;;;
33;Internacional;Bahia;;;
34;Bahia;Fortaleza;;;
34;Gremio;Vasco;;;
34;Santos;Mirassol;;;
34;Corinthians;Sao Paulo;;;
34;Ceara;Internacional;;;
34;Juventude;Cruzeiro;;;
34;Bragantino;Vitoria;;;
34;Atletico-MG;Palmeiras;;;
34;Botafogo RJ;Sport Recife;;;
34;Fluminense;Flamengo RJ;;;
35;Mirassol;Ceara;;;
35;Palmeiras;Fluminense;;;
35;Cruzeiro;Corinthians;;;
35;Flamengo RJ;Bragantino;;;
35;Internacional;Santos;;;
35;Sport Recife;Vitoria;;;
35;Sao Paulo;Juventude;;;
35;Bahia;Vasco;;;
35;Botafogo RJ;Gremio;;;
35;Fortaleza;Atletico-MG;;;
36;Corinthians;Botafogo RJ;;;
36;Bragantino;Fortaleza;;;
36;Vitoria;Mirassol;;;
36;Santos;Sport Recife;;;
36;Gremio;Palmeiras;;;
36;Ceara;Cruzeiro;;;
36;Fluminense;Sao Paulo;;;
36;Juventude;Bahia;;;
36;Vasco;Internacional;;;
36;Atletico-MG;Flamengo RJ;;;
37;Bahia;Sport Recife;;;
37;Vasco;Mirassol;;;
37;Gremio;Fluminense;;;
37;Cruzeiro;Botafogo RJ;;;
37;Fortaleza;Corinthians;;;
37;Bragantino;Atletico-MG;;;
37;Flamengo RJ;Ceara;;;
37;Palmeiras;Vitoria;;;
37;Sao Paulo;Internacional;;;
37;Juventude;Santos;;;
38;Internacional;Bragantino;;;
38;Mirassol;Flamengo RJ;;;
38;Vitoria;Sao Paulo;;;
38;Botafogo RJ;Fortaleza;;;
38;Fluminense;Bahia;;;
38;Ceara;Palmeiras;;;
38;Atletico-MG;Vasco;;;
38;Santos;Cruzeiro;;;
38;Sport Recife;Gremio;;;
38;Corinthians;Juventude;;;
